Sample No,ATP5PF,ATP6V0E1,PIGX,SPCS1,GABARAPL2,DDT,SDR
P0138,0.057,0.182,0.003,0.074,0.087,0.079,0
P0139,0.021,0.163,0.001,0.024,0.029,0.033,0
P0141,0.061,0.343,0.002,0.089,0.087,0.084,0
KMUH0503,0.157,0.612,0.005,0.172,0.198,0.188,0
P0149,0.171,0.594,0.014,0.198,0.222,0.175,0
TDM0433,0.042,0.113,0.003,0.041,0.027,0.012,0
KMUH0525,0.073,0.331,0.002,0.08,0.111,0.084,0
P0161,0.005,0.038,0.001,0.013,0.01,0.007,0
KMUH0530,0.137,0.569,0.007,0.143,0.167,0.23,0
TDM0442,0.064,0.231,0.004,0.09,0.077,0.046,0
KMTH0520,0.047,0.203,0.002,0.039,0.072,0.04,0
KMTH0524,0.013,0.05,0.001,0.028,0.01,0.008,0
KMTH0534,0.019,0.128,0.003,0.02,0.016,0.009,0
KMTH0551,0.032,0.219,0.001,0.042,0.04,0.051,0
KMTH0559,0.057,0.262,0.002,0.08,0.082,0.078,0
TDM0451,0.107,0.486,0.006,0.295,0.236,0.118,0
KMTH0609,0.024,0.199,0.001,0.035,0.025,0.027,0
KMTH0620,0.115,0.32,0.003,0.131,0.102,0.107,0
P0189,0.038,0.084,0.002,0.061,0.046,0.048,0
KMTH0674,0.071,0.172,0.003,0.082,0.069,0.05,0
KMTH0691,0.025,0.199,0.001,0.031,0.029,0.028,0
KMTH0694,0.025,0.108,0.002,0.024,0.027,0.015,0
KMTH0709,0.011,0.191,0.001,0.01,0.015,0.033,0
TDM0467,0.027,0.095,0.002,0.029,0.045,0.022,0
KMUH0580,0.108,0.413,0.005,0.116,0.118,0.072,0
TDM0480,0.018,0.072,0.001,0.037,0.016,0.014,0
KMTH0227,0.039,0.201,0.004,0.064,0.064,0.047,0
P0195,0.063,0.332,0.004,0.076,0.074,0.055,0
P0197,0.058,0.305,0.002,0.071,0.092,0.064,0
TDM0492,0.026,0.088,0.002,0.049,0.031,0.016,0
1HP0001,0.055,0.214,0.002,0.092,0.06,0.082,0
KMUH0631,0.054,0.288,0.002,0.069,0.072,0.055,0
P0212,0.098,0.405,0.005,0.135,0.105,0.072,0
P0214,0.1,0.343,0.004,0.12,0.121,0.101,0
1HP0026,0.094,0.557,0.008,0.18,0.195,0.13,0
1HP0045,0.046,0.131,0.004,0.097,0.061,0.073,0
